idboleta,fac00,area,region,r004,pobreza,ingpe,r3213a,r32309a,r32309b,INTERNET_SI_NO,COMPUTADORA_SI_NO,es_outlier_ingreso,INGPE_LIMPIO,BRECHA_DIGITAL,LOG_INGPE,INGPE_ESCALADO,PC_ESCALADO
363488.0,194.67283415425683,Urbano,Occidental,Ahuachapán,No pobre,342.616,No,No,0.0,0.0,0.0,False,342.616,1.0,5.839524754800104,0.7047319503834328,0.0
363489.0,207.54137099569408,Urbano,Occidental,Ahuachapán,Pobreza relativa,109.44333333333333,Sí,Sí,2.0,1.0,1.0,False,109.44333333333333,0.0,4.704502568907576,-0.3939600978509698,2.0
363490.0,213.97563941641275,Urbano,Occidental,Ahuachapán,No pobre,225.998,Sí,Sí,1.0,1.0,1.0,False,225.998,0.0,5.424941206869902,0.15523671531728916,1.0
363491.0,191.45569994389749,Urbano,Occidental,Ahuachapán,No pobre,231.39000000000001,No,No,0.0,0.0,0.0,False,231.39000000000001,1.0,5.448416994792074,0.18064341331825523,0.0
363492.0,187.43428218094834,Urbano,Occidental,Ahuachapán,No pobre,615.8975,No,Sí,1.0,0.0,1.0,False,615.8975,1.0,6.424702883686714,1.9924138012274568,1.0
365211.0,175.37002889210092,Urbano,Occidental,Ahuachapán,No pobre,379.17,No,No,0.0,0.0,0.0,False,379.17,1.0,5.940618521102067,0.8769716459930972,0.0
361660.0,261.6796442571818,Urbano,Occidental,Ahuachapán,No pobre,210.0,No,No,0.0,0.0,0.0,False,210.0,1.0,5.351858133476067,0.07985534391160426,0.0
361662.0,242.85681925385208,Urbano,Occidental,Ahuachapán,No pobre,192.08333333333334,No,No,0.0,0.0,0.0,False,192.08333333333334,1.0,5.2631218746443755,-0.004566640358420405,0.0
361663.0,233.44540675218718,Urbano,Occidental,Ahuachapán,No pobre,219.875,No,No,0.0,0.0,0.0,False,219.875,1.0,5.39759693063986,0.12638560035810625,0.0
361664.0,227.79855925118827,Urbano,Occidental,Ahuachapán,No pobre,158.0,No,Sí,2.0,0.0,1.0,False,158.0,1.0,5.0689042022202315,-0.16516474066744422,2.0
361665.0,247.56252550468454,Urbano,Occidental,Ahuachapán,Pobreza relativa,114.1675,No,Sí,1.0,0.0,1.0,False,114.1675,1.0,4.74638759040345,-0.37170018023112,1.0
361666.0,233.44540675218718,Urbano,Occidental,Ahuachapán,No pobre,198.79250000000002,No,Sí,1.0,0.0,1.0,False,198.79250000000002,1.0,5.2972793279723644,0.027046447797764238,1.0
361667.0,205.2111692471926,Urbano,Occidental,Ahuachapán,Pobreza relativa,80.42,No,No,0.0,0.0,0.0,False,80.42,1.0,4.399620943074833,-0.5307158591605707,0.0
361668.0,224.0339942505223,Urbano,Occidental,Ahuachapán,No pobre,164.25,No,Sí,1.0,0.0,1.0,False,164.25,1.0,5.107459478731796,-0.13571521127092395,1.0
361669.0,261.6796442571818,Urbano,Occidental,Ahuachapán,No pobre,759.1600000000001,No,No,0.0,0.0,0.0,True,642.4237499999999,1.0,6.466803527396884,2.1174034938921675,0.0
361670.0,239.09225425318613,Urbano,Occidental,Ahuachapán,Pobreza relativa,78.2,No,No,0.0,0.0,0.0,False,78.2,1.0,4.37197629882038,-0.5411763320022147,0.0
358130.0,206.48733766778233,Urbano,Occidental,Ahuachapán,No pobre,178.23,Sí,Sí,2.0,1.0,1.0,False,178.23,0.0,5.188669897243506,-0.06984250391678751,2.0
358131.0,206.48733766778233,Urbano,Occidental,Ahuachapán,No pobre,197.79,No,No,0.0,0.0,0.0,False,197.79,1.0,5.29224899114643,0.022322743282562268,0.0
358132.0,218.9742240336276,Urbano,Occidental,Ahuachapán,No pobre,222.335,Sí,Sí,3.0,1.0,1.0,False,222.335,0.0,5.408672886375624,0.13797693512857667,3.0
358134.0,181.51356493609174,Urbano,Occidental,Ahuachapán,No pobre,241.63666666666666,No,No,0.0,0.0,0.0,False,241.63666666666666,1.0,5.4915651255125795,0.22892493511287018,0.0
358136.0,192.61301948350976,Urbano,Occidental,Ahuachapán,No pobre,279.35,No,Sí,2.0,0.0,1.0,False,279.35,1.0,5.636038822569682,0.40662732209539304,2.0
358137.0,198.16274675721874,Urbano,Occidental,Ahuachapán,Pobreza relativa,121.11,No,Sí,1.0,0.0,1.0,False,121.11,1.0,4.8049222778449305,-0.3389876429774653,1.0
358138.0,198.16274675721874,Urbano,Occidental,Ahuachapán,No pobre,246.63,No,No,0.0,0.0,0.0,False,246.63,1.0,5.511935696637175,0.2524531457987301,0.0
358139.0,206.48733766778233,Urbano,Occidental,Ahuachapán,No pobre,377.33,No,No,0.0,0.0,0.0,False,377.33,1.0,5.935766830635893,0.8683017045387615,0.0
358141.0,181.51356493609174,Urbano,Occidental,Ahuachapán,No pobre,301.0,No,No,0.0,0.0,0.0,False,301.0,1.0,5.71042701737487,0.5086404919249391,0.0
